text,label
毛毛姐,0
阿荣百晓生,1
清河源企业店,2
智慧馆长,1
童曲,0
简约童品,1
Aenaeder,0
川川男装穿搭,2
永和中学,1
banchunyu,0
合丰食品专营店,2
东方雪,1
老丁说电影,1
香港-创鑫旺数码,1
曼诺丹尼,0
朱立朝回忆屋(怀旧大舞台筹备中....),1
sumiyaki,0
乐思觅果蔬面艺,1
强少……,1
莫奈熙,2
川白严选,2
鹏程校长,1
shiguangxue,0
星街战【集梦116】,1
欧老師吖,1
冉冉言泽成长记,1
艾美丽配饰,1
鲸选街,0
DotDrobe,0
Blueparadigm,0
再米热,1
辣可鹿鹿lulu,1
敬医百草,0
王迎妹的小店,2
谨觅工厂店,2
MUID,0
Luna美芽⁹²¹¹,1
FUJIFILM,0
翼遥供应链,2
富贵大威哥,1
哈克汉贝官方旗舰店,2
杭州四季青相老板气质穿搭,2
鱼豆er,1
刘颖儿.,1
子帅,1
汤姆爱剪辑,1
壳乐数码工作室,2
尚卡芙,0
云边说,1
彬彬姐,1
唛芯恬,0
在下李不,1
梧空室界,0
陈玉霞,1
奴风,0
柴七七,1
老马草原官方旗舰店,2
孟家六口人,1
爱护康童鞋3号店,2
sweetamy轻奢饰品,2
瑜美伽人,1
TIGER BALM,0
等花开良品,2
丹丹家🏠,1
小山竹,1
荣荣家居,1
家美乐购,2
棉小班童装小店,2
明欣电商,1
赋能者甄选,2
天猫,1
乌江官方旗舰店好物推荐,1
留白美学文艺寝室,2
婷婷百货甄选,2
我的家在信阳,1
小糖宝吖,1
YJWHZ986,1
禾安堂,0
隔壁大同学,1
机智的雪mm,1
享佳食品,2
孙尚时尚男装,1
景甜mm,1
来把我妹带走,1
烽火臻选,2
谨言食品,2
聚优优品店,2
雪八两,0
工装服饰（工厂号）,1
唐小喵美食记,1
一口吃掉瑶宝,1
拜托了，玥小医,1
MUNU,0
俊姐,1
厚道渔需运动户外,2
高中升学助手陶老师,1
龙顿（天才发明家✌️）,1
边边边天扬,1
李严冰,1
健琴贸易企业店,2
西港派义乌市蓝里饰品有限公司饰品专卖店,2
大耳朵涂涂,1
鹅先锋,0
小邱不开车,1
童童手工钩织,1
探探猫和豆豆猪,1
daily neaty,0
王九蛋❗️【收徒】,1
智赚,0
农村姐🎤,1
玉,0
优质美妆正品店,2
奶盖nie,1
怪魔星,0
粤讲越好玩,1
艾天然,0
万物秀,0
何老师父母课堂,1
RIZY,0
东风里外贸,2
Cemreo,0
蓝月亮专卖店,2
初蔓,0
马登福叔,1
营城之恋,0
九狸电影,1
麦炫男装,2
奔放的鼠鼠,1
纽维特,0
夏新奈坤店封口机直发,1
菏泽交警,1
晋州佳绮利围裙厂家直销,1
猜猜宝贝胖fufu,1
三舅父女-小辣椒,1
沙漠行者,0
TEGIC,0
球探四叔,1
汇成鼎圣文化,1
张领领是大宝呗,1
T井姐妹,1
井迪,1
图纸之家-筑昊别墅设计,1
萨达是第三代,2
YIZHOU,0
Skezz不是TC,1
SARF LAB,0
草根大脑袋（冲刺150w）,1
CHUMIAN,0
Attenir,0
邓假假,1
王莹轻奢定制,2
喜食锦旗舰店,2
少涵,1
品菌食品浙江干货专卖店,2
金盾,0
可青蔬菜水果店,2
敬修堂,0
ANGKE昂科数码,2
亿麟百货家居,2
嘉至服饰,1
南都圣草官方旗舰店,2
傲逸生鲜,0
七匹狼官方旗舰店,1
捷旺,2
了不起的人生,1
生活小助手,1
观史通鉴,1
竹子买车 力宏新车,1
滋记官方旗舰店,2
NORTH&SOUTH NS,0
龙港唐卡的小店,2
黄可馨有氧形体运动健身,1
杰轩,2
三讯的生活,1
每天赚钱技巧,1
榴喜儿,2
婷美内衣旗舰店,2
德荣恒,0
宝哥宝嫂夫妇,1
朵啦潮童袜,2
medox,0
沐兮卖壳,2
广衣家服饰,2
安墨箱包销售部,2
一笑而过9bjv,1
江好,1
雯雯💕,1
笨丫頭,1
欣欣严选3,2
东哥言商,1
赛我爱健康,1
一只小小蛹,1
龍行天下￴,1
凤城供应链,2
魔法香风宠物旗舰店,2
鑫喜女装,1
臻羞,2
凝青,1
露米恩,0
冰雨❤️运动,1
漫天飞舞💋,1
轩希希家一店,2
Zwinnie,0
神气水牛官方旗舰店,2
南界,0
物生物,0
梦幻空间改造师,1
影探阿阳,1
婷婷姐姐唱古诗,1
鑫哥侃剧,1
琳琳爱唱歌,1
shuxinester.,1
鱼儿,1
千也,0
达芬奇家纺旗舰店,2
新雨严选,2
有为专营店,2
轩语说婚恋,1
卡林巴琴,1
玛斯柏官方旗舰店,2
生活中的点点滴滴,1
三剑客官方旗舰店,2
辛家老店,0
JOMOO,0
一口苏达,2
醉蓝家居清洁旗舰店,2
艺上服装工厂店,2
萌蒂家居,0
小笨的理想,2
鹰谷,0
穗穗农场--suisui个体店,2
津果欢,0
柳江人家官方旗舰店,2
捕蜜熊,0
山西.魏道文旅,1
谭三娘品牌（老板娘）,1
鑫鸿万佳,2
小伍玩车,1
民酒网卖场店,2
良驹日用品,2
海带撩食记,1
骆驼大叔,0
Scott学口语,1
开心夫妻,1
布克韦伯,0
王律师-华台,1
泓誉,0
HCC,0
华歌韵鞋类旗舰店,2
SIAFA,0
潮冉个护美妆严选,2
1688881302,1
石榴妈童装,1
淘奇专营店,2
红薯干厂家,2
小菲特儿童旗舰店,2
阿枫姐姐,1
小红盒,0
芊形,0
佳剪剧场,1
小厨娘卷卷,1
工匠小,2
赵铁锤儿,1
添饭,1
倾半城服饰旗舰店,2
阿表哥,0
玉泽园,1
suamoment,0
财神美妆小店,2
德妃DERMAFIRM官方旗舰店,2
皮二蒙,1
长庚剧场,1
老香斋食品旗舰店,2
匠心严选老杨,1
风雨战队-麻辣肌王菲,1
KUY身体清洁旗舰店,2
山西气象,1
杭天琪,1
宝洁中盛洗护清洁专卖店,2
高森电影,1
NANQUE南雀,2
龙兴宝富,0
浪莎优选官方旗舰店,2
张自豪,1
首览,0
龙弘甄选百货店,2
关巧红律师,1
常吻,0
贻倩食品,2
大唐·,1
丫娅的逆袭,1
寻梦臻品个体店,2
MONOLOGUE,0
小A_Vicky,1
甘肃星星知我心,1
农村艺人混饭吃张永军《团队招人》,1
LANSHIYU,0
橘子aha,1
珍会吃(二珍水瓢米线),1
斯琴高丽（新歌我们的青春),1
大萍「儿童动画」,1
一只小哥哥,1
纪华菲,0
拉飞姆,0
松崎官方旗舰店,2
Mericle,0
MOKERBLUO浩天中佳,2
属兔的跳跳兔,1
fivepeas,0
小蝶夫妇·日常生活🏖,1
钦儿的钦,1
曳舞飞严选,1
NEWFACE,0
泡 泡,1
九多肉多卤味熟食,1
快阳,0
阿喆讲精准战略,1
怡达yida蜜饯果干,2
江寻千（九月）,1
李沐橙与佳佳,1
Whatevs英语说唱,1
平平淡淡,1
白白酱的动画(玩具在橱窗),1
吉林一哥室内手绘工作室,1
香香手工,1
西瓜探秘局,1
法龙图,0
SACKAAI,0
玲姐设计教学-思创（有课）,1
数据分析师西西,1
妙招小妹,1
Soully,0
猪妹超有料,1
红姐,1
VANESSAMATTIA,0
YOLO YYX美妆旗舰店,2
童客邦正图书专卖店,2
常熟市琴川街道杏花春雨服饰商行,2
喵老师动漫（收学员）,1
思帕客,0
小拾九,1
弹吉他的飞飞,1
醉清风专营店,2
阿健在写歌吗,1
达纱,0
pamir,0
陈得住气儿,1
欣妈的进出口小店,2
CreaToon-雷迪,1
MoMo家居百货店,2
天神馆主叶墨,1
大众网·淄博,1
一念.,1
哈利Halleeee,1
EROADE,0
刀子没有刀,1
盛红家居百货,2
几彩,0
嘉佩惠：（英子）,1
逸舟供应链,2
Joocyee,0
米特医生,0
NACO,0
悠郎,1
嘉绒嘉贸易食品专营店,2
SLAMBLE官方旗舰店,2
蜜丝婷MISTINE旗舰店,1
VEpiaopiao旗舰店,2
阿尧.,1
虎纹章鱼,1
are you happy?,1
福聚惠优选企业店,2
老才臣调味品旗舰店,2
瑞建号企业店,2
快乐修狗,1
逗小铺童品个体店,2
刘哥模玩,1
经纪人老五张成军,1
川奈社,0
B19调香师香水,2
蔓添星食品店,2
波斯,0
太一帽社,1
尚暖义乌市双聚文具有限公司美妆专卖店,2
和之铭制衣,2
王源吉,0
DIADORA,0
懂车一姐,1
霁晓,2
玉兔百货,2
ChampionEarth赫迈专卖店,2
义乌市伴奏电子商务有限公司,2
HOMENICE,0
手艺人浪老板🧔🏻,1
冬月子时🌙,1
郑小二,1
绣冬,0
中闽飘香官方旗舰店,2
PIADORE帕东尼眼镜店,2
写给后来的她,1
沙一汀EL,1
湘醴瓷都陶瓷,2
麷鷇好物,1
xingwangzuo,0
MBH,0
迪缇,0
哇噻多肉基地,2
童泰婴幼儿倍爱母婴服饰用品店,2
卡游官方旗舰店,2
何磊带你玩转游轮（三峡/欧亚非洲/南极）,1
Q·MO,0
